ts_code,name,pe_latest,pe_percentile,pb_latest,pb_percentile,primary_metric,valuation_status
801140.SI,轻工制造,31.1,92,1.97,59,PE,高估
801040.SI,钢铁,33.94,92,1.22,84,PB,高估
801050.SI,有色金属,25.53,71,3.16,80,PB,高估
801080.SI,电子,65.88,97,5.0,98,PE,高估
801970.SI,环保,30.43,100,1.73,79,PE,高估
801770.SI,通信,43.62,97,4.32,98,PE,高估
801760.SI,传媒,43.59,86,3.08,96,PE,高估
801750.SI,计算机,88.4,95,4.53,96,PE,高估
801200.SI,商贸零售,48.96,100,1.98,69,PE,高估
801150.SI,医药生物,38.12,80,2.85,39,PE,高估
801160.SI,公用事业,20.61,57,1.7,81,PB,高估
801740.SI,国防军工,78.66,92,3.31,58,PE,高估
801890.SI,机械设备,37.41,98,3.02,95,PB,高估
801730.SI,电力设备,42.29,72,3.5,52,PE,中性
801010.SI,农林牧渔,23.99,34,2.59,33,PE,中性
801950.SI,煤炭,19.79,100,1.43,68,PB,中性
801960.SI,石油石化,20.13,94,1.32,58,PB,中性
801720.SI,建筑装饰,13.15,100,0.82,43,PB,中性
801710.SI,建筑材料,28.76,95,1.36,42,PB,中性
801210.SI,社会服务,45.9,33,2.93,29,PE,中性
801790.SI,非银金融,12.93,5,1.34,64,PB,中性
801780.SI,银行,6.52,78,0.55,62,PB,中性
801180.SI,房地产,63.56,97,0.87,57,PB,中性
801170.SI,交通运输,18.38,85,1.34,39,PB,中性
801130.SI,纺织服饰,27.37,79,1.88,83,PE,中性
801120.SI,食品饮料,21.7,24,3.95,5,PE,中性
801110.SI,家用电器,14.59,51,2.46,39,PE,中性
801880.SI,汽车,29.21,55,2.69,93,PE,中性
801030.SI,基础化工,29.51,89,2.19,51,PB,中性
801230.SI,综合,48.08,55,2.3,86,PE,中性
801980.SI,美容护理,38.52,34,3.23,18,PE,中性
