industry_code,industry_name,profit_yoy_weighted,valid_stock_count,total_stock_count,data_quality_flag
801010.SI,,,0,0,no_weight_data
801030.SI,,,0,0,no_weight_data
801040.SI,,,0,0,no_weight_data
801050.SI,,,0,0,no_weight_data
801080.SI,,,0,0,no_weight_data
801880.SI,,,0,0,no_weight_data
801110.SI,,,0,0,no_weight_data
801120.SI,,,0,0,no_weight_data
801130.SI,,,0,0,no_weight_data
801140.SI,,,0,0,no_weight_data
801150.SI,,,0,0,no_weight_data
801160.SI,,,0,0,no_weight_data
801170.SI,,,0,0,no_weight_data
801180.SI,,,0,0,no_weight_data
801200.SI,,,0,0,no_weight_data
801210.SI,,,0,0,no_weight_data
801780.SI,,,0,0,no_weight_data
801790.SI,,,0,0,no_weight_data
801230.SI,,,0,0,no_weight_data
801710.SI,,,0,0,no_weight_data
801720.SI,,,0,0,no_weight_data
801730.SI,,,0,0,no_weight_data
801890.SI,,,0,0,no_weight_data
801740.SI,,,0,0,no_weight_data
801750.SI,,,0,0,no_weight_data
801760.SI,,,0,0,no_weight_data
801770.SI,,,0,0,no_weight_data
801950.SI,,,0,0,no_weight_data
801960.SI,,,0,0,no_weight_data
801970.SI,,,0,0,no_weight_data
801980.SI,,,0,0,no_weight_data
